DATE,LEDGER,REVENUE,UNITS
5/31/2019,Bike Footwear,10883463.99,91736.00
5/31/2019,Bike Sandals,53506.39,536.00
5/31/2019,Mountain Shoes,5979876.04,53118.00
5/31/2019,Other Bike Shoes,69499.18,864.00
5/31/2019,Road Shoes,4780582.38,37218.00
5/31/2019,Bike Gloves,3627413.60,130646.00
5/31/2019,Bike Glove Liners,620.42,14.00
5/31/2019,Fingerless Bike Gloves,2415738.10,88580.00
5/31/2019,Full Finger Bike Gloves,1211055.08,42052.00
5/31/2019,Bike Lights,7822205.10,298608.00
5/31/2019,Bike Headlights,2607626.57,65052.00
5/31/2019,Bike Light Accessories,65921.44,3666.00
5/31/2019,Bike Light Sets,2842380.95,106561.00
5/31/2019,Bike Taillights,1554892.31,53993.00
5/31/2019,Other Bike Lights,751383.83,69336.00
5/31/2019,Bike Pumps,9562385.14,588823.00
5/31/2019,C02 Frame Pumps,547630.59,31620.00
5/31/2019,Floor Pumps,6136329.13,292452.00
5/31/2019,Manual Frame Pumps,1810198.38,105615.00
5/31/2019,Pump Accessories,862062.91,154226.00
5/31/2019,Shock Pumps,206164.13,4910.00
5/31/2019,Bike Rentals,4281037.63,86861.00
5/31/2019,Bike Rentals,4281037.63,86861.00
5/31/2019,Bike Service/Repairs,28616226.74,1189195.00
5/31/2019,Bike Service/Repairs,28616226.74,1189195.00
5/31/2019,BMX,15887876.32,154881.00
5/31/2019,BMX/Race Bicycles,3707533.85,37617.00
5/31/2019,Freestyle Bicycles,12180342.47,117264.00
5/31/2019,Childrens,65715760.80,689497.00
5/31/2019,12 inch Bicycles,8181668.51,127130.00
5/31/2019,14 inch Bicycles,1662399.29,18685.00
5/31/2019,16 inch Bicycles,14163402.78,167121.00
5/31/2019,18 inch Bicycles,6353263.33,77851.00
5/31/2019,20 inch Bicycles,15636791.41,153536.00
5/31/2019,24 inch Bicycles,18265179.73,126657.00
5/31/2019,Balance Bikes,1292486.40,16422.00
5/31/2019,Tricycles,160569.35,2095.00
5/31/2019,Components,27311979.79,1198395.00
5/31/2019,Bar Ends,49892.26,2707.00
5/31/2019,Bottom Brackets,566269.20,14847.00
5/31/2019,Brake and Shifting Cables,1459895.50,287977.00
5/31/2019,Brake Parts - Disks,729850.02,18344.00
5/31/2019,Brake Parts - Levers,225729.35,6131.00
5/31/2019,Brake Parts - Other,327975.74,31662.00
5/31/2019,Brake Parts - Pads,1984620.91,141658.00
5/31/2019,Brake Parts - Rims,92259.33,1015.00
5/31/2019,Brakes - Disk - Hydraulic,456979.63,4646.00
5/31/2019,Brakes - Disk - Hydraulic Sets,515203.24,5412.00
5/31/2019,Brakes - Disk - Mechanical,100627.48,1795.00
5/31/2019,Brakes - Disk - Mechanical Sets,2523.15,56.00
5/31/2019,Brakes - Rim Sets,48880.76,423.00
5/31/2019,Brakes - Rims,96665.16,3879.00
5/31/2019,Cassettes/Freewheels,2763427.03,43086.00
5/31/2019,Chainrings,715109.64,12426.00
5/31/2019,Chains,3507143.26,156277.00
5/31/2019,Component Groups,554134.11,742.00
5/31/2019,Cranksets,1140070.39,7134.00
5/31/2019,Front Derailleurs,203574.26,4071.00
5/31/2019,Handlebar Grips,1301438.47,78107.00
5/31/2019,Handlebar Tape,1223096.05,57917.00
5/31/2019,Handlebars,1112802.79,14029.00
5/31/2019,Headsets,169683.64,4992.00
5/31/2019,Other Component Parts,3467926.82,232533.00
5/31/2019,Rear Derailleurs,1186167.62,18153.00
5/31/2019,Seatposts,1492452.63,14748.00
5/31/2019,Shift/Brake Combo,475423.36,3548.00
5/31/2019,Shifters,520064.19,13678.00
5/31/2019,Stems,822093.80,16402.00
5/31/2019,Electric Bicycles,20541435.91,9431.00
5/31/2019,Electric Bicycles,20541435.91,9431.00
5/31/2019,Electronics,6489267.46,81081.00
5/31/2019,Cyclo-Computers,4284822.65,38587.00
5/31/2019,Electronic Accessories,1465785.03,41456.00
5/31/2019,Power Meters,738659.78,1038.00
5/31/2019,Fenders,689561.54,23994.00
5/31/2019,Fender Sets,483454.87,11510.00
5/31/2019,Front Fenders,90818.20,5966.00
5/31/2019,Rear Fenders,115288.47,6518.00
5/31/2019,Forks & Suspension,991080.53,2607.00
5/31/2019,26 Inch,10503.38,63.00
5/31/2019,700C,14451.46,175.00
5/31/2019,Other Rigid Forks,125954.82,371.00
5/31/2019,Suspension Fork,769065.01,1692.00
5/31/2019,Suspension Rear,71105.86,306.00
5/31/2019,Frames,3722738.76,1797.00
5/31/2019,BMX Frames,15015.14,44.00
5/31/2019,Cyclocross/Gravel Frames,392852.64,180.00
5/31/2019,Mountain Frames,2248085.50,1107.00
5/31/2019,Road Frames,1066785.48,466.00
5/31/2019,Helmets,36341909.16,1040356.00
5/31/2019,Full Face Helmets,1256515.12,10560.00
5/31/2019,Helmet Accessories,34554.23,2110.00
5/31/2019,Regular Helmets,35050839.81,1027686.00
5/31/2019,Lifestyle/Leisure,26797504.74,151692.00
5/31/2019,Comfort Bicycles,9445059.46,33766.00
5/31/2019,Cruiser/Classic Bicycles,17352445.28,117926.00
5/31/2019,Locks,7795114.06,404682.00
5/31/2019,Cable Locks,4487652.14,313738.00
5/31/2019,Lock Accessories,147442.34,8172.00
5/31/2019,U-Locks,3160019.58,82772.00
5/31/2019,Mountain,99273803.99,259071.00
5/31/2019,Downhill  -26,4747.13,3.00
5/31/2019,Downhill - 27.5,0.00,0.00
5/31/2019,Downhill - 29,0.00,0.00
5/31/2019,Front Suspension 26,10940905.69,76068.00
5/31/2019,Front Suspension 27.5,23932394.36,53119.00
5/31/2019,Front Suspension 29,17112733.35,37130.00
5/31/2019,Full Suspension 26,5725833.22,43127.00
5/31/2019,Full Suspension 27.5,17092993.58,13711.00
5/31/2019,Full Suspension 29,19154095.38,16969.00
5/31/2019,Single Speed Mountain Bicycles,1823158.73,9095.00
5/31/2019,Unsuspended Bicycles,3486942.55,9849.00
5/31/2019,On-Bike Packs,4586511.25,115171.00
5/31/2019,Frame Bags,711344.76,24751.00
5/31/2019,Handlebar Bags,399804.66,11001.00
5/31/2019,Pannier/Rack Packs,2113294.99,27251.00
5/31/2019,Seat/Seatpost Bags,1362066.84,52168.00
5/31/2019,On-Bike Racks,3923705.73,138975.00
5/31/2019,Bike Baskets,2118369.35,93249.00
5/31/2019,Front Bike Racks,51936.35,1070.00
5/31/2019,Front/Rear Rack Sets,0.00,0.00
5/31/2019,Rear Rack Frame,1580621.10,40680.00
5/31/2019,Rear Rack Seatpost,172778.93,3976.00
5/31/2019,Other Bicycles,5149423.28,11974.00
5/31/2019,Folding Bicycles,1065203.31,2749.00
5/31/2019,Other Bicycles,217802.44,121.00
5/31/2019,Recumbent Bicycles,1722962.43,1520.00
5/31/2019,Three Wheeler Bicycles,2036966.94,6502.00
5/31/2019,Unicycles,106488.16,1082.00
5/31/2019,Pedals,8175748.22,199891.00
5/31/2019,MTB Clipless Pedals,1803306.95,24837.00
5/31/2019,Pedals Accessories,1532797.43,70237.00
5/31/2019,Platform Pedals,2592625.96,80055.00
5/31/2019,Road Clipless Pedals,2247017.88,24762.00
5/31/2019,Repairs/Maintenance,8436828.03,778858.00
5/31/2019,Bike Multi Tools,1066149.64,53228.00
5/31/2019,Bike Patch Tool Kits,651321.51,123411.00
5/31/2019,Bike Patch Tools,1237864.16,171637.00
5/31/2019,Bike Shop Tools,1420269.42,97265.00
5/31/2019,Lubes/Cleaners,3251727.41,327926.00
5/31/2019,Workstands,809495.89,5391.00
5/31/2019,Road,44543986.14,33080.00
5/31/2019,Cyclocross/Gravel Bicycles,11312254.81,8001.00
5/31/2019,Sport Performance Road Bicycles,29888566.97,19472.00
5/31/2019,Touring Road Bicycles,1328545.31,1209.00
5/31/2019,Track/Single Speed Bicycles,1055284.10,4175.00
5/31/2019,Triathlon Bicycles,959334.95,223.00
5/31/2019,Saddles/Pads,6515023.43,168799.00
5/31/2019,Comfort Saddles,2980268.53,85829.00
5/31/2019,Other Saddles,128114.06,4677.00
5/31/2019,Pads/Covers,779504.94,47645.00
5/31/2019,Performance Saddles,2627135.90,30648.00
5/31/2019,Stationary Bikes,9604891.47,51701.00
5/31/2019,Pedalers & Desk Bikes,681267.88,14275.00
5/31/2019,Recumbent Stationary Bikes,3676127.28,14976.00
5/31/2019,Spin Bikes,2128514.10,5962.00
5/31/2019,Upright Stationary Bikes,3118982.21,16488.00
5/31/2019,Tandem,753993.37,971.00
5/31/2019,All Terrain Tandem Bicycles,51058.96,17.00
5/31/2019,Comfort/Cross Tandem Bicycles,367215.23,571.00
5/31/2019,Road Tandem Bicycles,335719.18,383.00
5/31/2019,Tires/Tubes,27373227.84,2107532.00
5/31/2019,Other Tubes,1395088.41,242751.00
5/31/2019,Tire 12-24 Inch,1511570.24,88149.00
5/31/2019,Tire 26 Inch,2995773.74,128925.00
5/31/2019,Tire 27 Inch/700C/650C,8646958.99,223277.00
5/31/2019,Tire 27.5 Inch/650B,974697.65,19093.00
5/31/2019,Tire 29 Inch,1436894.10,32323.00
5/31/2019,Tire OTHER,69455.76,6263.00
5/31/2019,Tires/Tubes Accessories,1019219.65,130119.00
5/31/2019,Tube 20 Inch,1216974.44,150903.00
5/31/2019,Tube 24 X,498479.20,68439.00
5/31/2019,Tube 26 X,3099763.54,413370.00
5/31/2019,Tube 27.5/650B,395559.26,50217.00
5/31/2019,Tube 27/700C/650C,3600488.36,484252.00
5/31/2019,Tube 29 X,512304.50,69451.00
5/31/2019,Trailers,959724.93,7708.00
5/31/2019,Cargo Trailers,241223.68,1374.00
5/31/2019,Trail A Bikes,718501.25,6334.00
5/31/2019,Trainers/Rollers,2244566.69,16746.00
5/31/2019,Trainers/Rollers,1552600.12,3471.00
5/31/2019,Trainers/Rollers Accessories,691966.57,13275.00
5/31/2019,Transit/Fitness,52222657.99,128236.00
5/31/2019,Commuter/Town Bicycles,4105811.19,14551.00
5/31/2019,Cross/Hybrid Bicycles,48116846.80,113685.00
5/31/2019,Water Bottle Cages,4142576.51,307154.00
5/31/2019,Water Bottle Cages,4142576.51,307154.00
5/31/2019,Wheel Parts,976472.82,150089.00
5/31/2019,26 Inch Rims,12093.38,167.00
5/31/2019,27 Inch Rims,-17892.06,11.00
5/31/2019,27.5 Inch/ 650B Rims,73642.47,346.00
5/31/2019,29 Inch Rims,60650.61,290.00
5/31/2019,650C Rims,881.56,21.00
5/31/2019,700C Rims,56547.57,485.00
5/31/2019,Hubs,235147.40,1756.00
5/31/2019,Other Rims,23390.08,181.00
5/31/2019,Other Wheel Parts,315502.30,50244.00
5/31/2019,Skewers,82524.61,4688.00
5/31/2019,Spokes,133984.90,91900.00
5/31/2019,Wheels,5883133.03,25567.00
5/31/2019,<=24 inch Front Wheels,18334.90,338.00
5/31/2019,<=24 inch Rear Wheels,19307.60,244.00
5/31/2019,<=24 inch Wheel Sets,56709.97,1131.00
5/31/2019,26 inch Front Wheels,28847.64,537.00
5/31/2019,26 inch Rear Wheels,99914.19,1229.00
5/31/2019,26 inch Wheel Sets,268441.36,4487.00
5/31/2019,27 inch/ 700C/ 650C Front Wheels,813278.13,2217.00
5/31/2019,27 inch/ 700C/ 650C Rear Wheels,1090900.52,2816.00
5/31/2019,27 inch/ 700C/ 650C Wheel Sets,2000086.25,7644.00
5/31/2019,27.5 inch/ 650B Front Wheels,29011.75,154.00
5/31/2019,27.5 inch/ 650B Rear Wheels,43342.83,259.00
5/31/2019,27.5 inch/ 650B Wheel Sets,360749.54,1036.00
5/31/2019,29 inch Front Wheels,93479.15,502.00
5/31/2019,29 inch Rear Wheels,112489.97,502.00
5/31/2019,29 inch Wheel Sets,811807.16,1953.00
5/31/2019,Other Front Wheels,0.00,0.00
5/31/2019,Other Rear Wheels,684.38,9.00
5/31/2019,Other Wheel Sets,35747.69,509.00
5/31/2019,Grand Total,561843235.99,10645805.00
6/30/2019,Bike Footwear,11126353.95,88000.00
6/30/2019,Bike Sandals,49181.87,439.00
6/30/2019,Mountain Shoes,5662717.25,48121.00
6/30/2019,Other Bike Shoes,100547.09,1093.00
6/30/2019,Road Shoes,5313907.74,38347.00
6/30/2019,Bike Gloves,4687593.47,169576.00
6/30/2019,Bike Glove Liners,782.79,35.00
6/30/2019,Fingerless Bike Gloves,3225390.25,116464.00
6/30/2019,Full Finger Bike Gloves,1461420.43,53077.00
6/30/2019,Bike Lights,10431066.08,419391.00
6/30/2019,Bike Headlights,3336612.23,88678.00
6/30/2019,Bike Light Accessories,47570.99,3535.00
6/30/2019,Bike Light Sets,3979231.08,159037.00
6/30/2019,Bike Taillights,2036105.59,72609.00
6/30/2019,Other Bike Lights,1031546.19,95532.00
6/30/2019,Bike Pumps,12734945.25,796772.00
6/30/2019,C02 Frame Pumps,767711.61,41425.00
6/30/2019,Floor Pumps,8073117.46,389352.00
6/30/2019,Manual Frame Pumps,2425249.45,141824.00
6/30/2019,Pump Accessories,1215022.36,218179.00
6/30/2019,Shock Pumps,253844.37,5992.00
6/30/2019,Bike Rentals,6135796.34,138976.00
6/30/2019,Bike Rentals,6135796.34,138976.00
6/30/2019,Bike Service/Repairs,39091879.09,1786601.00
6/30/2019,Bike Service/Repairs,39091879.09,1786601.00
6/30/2019,BMX,22253020.45,209673.00
6/30/2019,BMX/Race Bicycles,4989883.94,48785.00
6/30/2019,Freestyle Bicycles,17263136.51,160888.00
6/30/2019,Childrens,82828159.68,841605.00
6/30/2019,12 inch Bicycles,10131113.73,154729.00
6/30/2019,14 inch Bicycles,1675541.12,18874.00
6/30/2019,16 inch Bicycles,16823702.42,196119.00
6/30/2019,18 inch Bicycles,7928349.84,95556.00
6/30/2019,20 inch Bicycles,20341363.89,190669.00
6/30/2019,24 inch Bicycles,24080356.28,162689.00
6/30/2019,Balance Bikes,1577342.77,19575.00
6/30/2019,Tricycles,270389.63,3394.00
6/30/2019,Components,32519984.31,1487430.00
6/30/2019,Bar Ends,82165.75,4620.00
6/30/2019,Bottom Brackets,681327.90,18695.00
6/30/2019,Brake and Shifting Cables,1876029.23,393609.00
6/30/2019,Brake Parts - Disks,802156.29,21024.00
6/30/2019,Brake Parts - Levers,310361.93,8284.00
6/30/2019,Brake Parts - Other,336362.92,36682.00
6/30/2019,Brake Parts - Pads,2676469.25,188783.00
6/30/2019,Brake Parts - Rims,87541.96,1125.00
6/30/2019,Brakes - Disk - Hydraulic,484973.01,4712.00
6/30/2019,Brakes - Disk - Hydraulic Sets,538875.25,6375.00
6/30/2019,Brakes - Disk - Mechanical,112050.20,2543.00
6/30/2019,Brakes - Disk - Mechanical Sets,1187.35,39.00
6/30/2019,Brakes - Rim Sets,43520.67,860.00
6/30/2019,Brakes - Rims,143578.20,5890.00
6/30/2019,Cassettes/Freewheels,2832592.74,49080.00
6/30/2019,Chainrings,711461.44,15146.00
6/30/2019,Chains,4350671.05,196756.00
6/30/2019,Component Groups,907128.59,1057.00
6/30/2019,Cranksets,1044007.61,8203.00
6/30/2019,Front Derailleurs,291212.58,5390.00
6/30/2019,Handlebar Grips,1876279.21,112569.00
6/30/2019,Handlebar Tape,1559174.42,70747.00
6/30/2019,Handlebars,1251211.82,18043.00
6/30/2019,Headsets,183477.31,5895.00
6/30/2019,Other Component Parts,4310282.93,223918.00
6/30/2019,Rear Derailleurs,1379912.71,23717.00
6/30/2019,Seatposts,1493005.19,18378.00
6/30/2019,Shift/Brake Combo,474306.69,4919.00
6/30/2019,Shifters,610915.05,18007.00
6/30/2019,Stems,1067745.06,22364.00
6/30/2019,Electric Bicycles,27021325.65,14317.00
6/30/2019,Electric Bicycles,27021325.65,14317.00
6/30/2019,Electronics,7893773.18,102143.00
6/30/2019,Cyclo-Computers,5317158.53,49500.00
6/30/2019,Electronic Accessories,1825457.25,51657.00
6/30/2019,Power Meters,751157.40,986.00
6/30/2019,Fenders,709330.84,25247.00
6/30/2019,Fender Sets,492432.49,12302.00
6/30/2019,Front Fenders,106532.85,6754.00
6/30/2019,Rear Fenders,110365.50,6191.00
6/30/2019,Forks & Suspension,901976.89,2793.00
6/30/2019,26 Inch,654.84,10.00
6/30/2019,700C,42543.09,130.00
6/30/2019,Other Rigid Forks,80663.70,408.00
6/30/2019,Suspension Fork,685536.66,1938.00
6/30/2019,Suspension Rear,92578.60,307.00
6/30/2019,Frames,2933277.26,1449.00
6/30/2019,BMX Frames,14252.78,37.00
6/30/2019,Cyclocross/Gravel Frames,325727.68,128.00
6/30/2019,Mountain Frames,1897631.07,862.00
6/30/2019,Road Frames,695665.73,422.00
6/30/2019,Helmets,46591838.28,1329553.00
6/30/2019,Full Face Helmets,1646563.17,14567.00
6/30/2019,Helmet Accessories,47884.32,2942.00
6/30/2019,Regular Helmets,44897390.79,1312044.00
6/30/2019,Lifestyle/Leisure,33693126.51,185178.00
6/30/2019,Comfort Bicycles,11686519.19,37137.00
6/30/2019,Cruiser/Classic Bicycles,22006607.32,148041.00
6/30/2019,Locks,11256723.97,591136.00
6/30/2019,Cable Locks,6571921.86,460557.00
6/30/2019,Lock Accessories,237951.81,13589.00
6/30/2019,U-Locks,4446850.30,116990.00
6/30/2019,Mountain,120779784.43,331985.00
6/30/2019,Downhill  -26,15899.94,6.00
6/30/2019,Downhill - 27.5,4951.96,29.00
6/30/2019,Downhill - 29,0.00,0.00
6/30/2019,Front Suspension 26,16527025.35,112657.00
6/30/2019,Front Suspension 27.5,28238497.13,64424.00
6/30/2019,Front Suspension 29,21877079.67,48887.00
6/30/2019,Full Suspension 26,6998273.78,55060.00
6/30/2019,Full Suspension 27.5,20708134.61,17978.00
6/30/2019,Full Suspension 29,22125912.15,22277.00
6/30/2019,Single Speed - 26,106358.35,305.00
6/30/2019,Single Speed- 27.5,143706.61,323.00
6/30/2019,Single Speed-29,122259.63,257.00
6/30/2019,Unsuspended - 26,2615146.19,8260.00
6/30/2019,Unsuspended -27.5,1068734.83,1328.00
6/30/2019,Unsuspended-29,227804.23,194.00
6/30/2019,On-Bike Packs,5255663.24,149050.00
6/30/2019,Frame Bags,830656.02,31702.00
6/30/2019,Handlebar Bags,477344.49,14352.00
6/30/2019,Pannier/Rack Packs,2150790.35,32750.00
6/30/2019,Seat/Seatpost Bags,1796872.38,70246.00
6/30/2019,On-Bike Racks,5359769.82,186664.00
6/30/2019,Bike Baskets,2929127.34,126239.00
6/30/2019,Front Bike Racks,66885.36,1128.00
6/30/2019,Front/Rear Rack Sets,808.65,18.00
6/30/2019,Rear Rack Frame,2125507.33,53670.00
6/30/2019,Rear Rack Seatpost,237441.14,5609.00
6/30/2019,Other Bicycles,5780056.83,15297.00
6/30/2019,Folding Bicycles,1607289.28,4238.00
6/30/2019,Other Bicycles,72352.28,50.00
6/30/2019,Recumbent Bicycles,1512722.27,1434.00
6/30/2019,Three Wheeler Bicycles,2477400.51,7801.00
6/30/2019,Unicycles,110292.49,1774.00
6/30/2019,Pedals,9690391.20,243978.00
6/30/2019,MTB Clipless Pedals,2016355.43,27206.00
6/30/2019,Pedals Accessories,1823517.27,82465.00
6/30/2019,Platform Pedals,3291460.11,106146.00
6/30/2019,Road Clipless Pedals,2559058.39,28161.00
6/30/2019,Repairs/Maintenance,10712990.32,1019430.00
6/30/2019,Bike Multi Tools,1299516.25,65952.00
6/30/2019,Bike Patch Tool Kits,921396.01,176137.00
6/30/2019,Bike Patch Tools,1665338.92,231647.00
6/30/2019,Bike Shop Tools,1695433.64,106369.00
6/30/2019,Lubes/Cleaners,4280363.62,433424.00
6/30/2019,Workstands,850941.88,5901.00
6/30/2019,Road,52048663.30,39197.00
6/30/2019,Cyclocross/Gravel Bicycles,13553227.94,8866.00
6/30/2019,Sport Performance Road Bicycles,34171940.33,23158.00
6/30/2019,Touring Road Bicycles,1022726.52,717.00
6/30/2019,Track/Single Speed Bicycles,1505952.40,6078.00
6/30/2019,Triathlon Bicycles,1794816.11,378.00
6/30/2019,Saddles/Pads,9652222.49,276816.00
6/30/2019,Comfort Saddles,5316435.91,170745.00
6/30/2019,Other Saddles,180573.33,6515.00
6/30/2019,Pads/Covers,1045734.17,63388.00
6/30/2019,Performance Saddles,3109479.08,36168.00
6/30/2019,Stationary Bikes,11221734.78,61224.00
6/30/2019,Pedalers & Desk Bikes,847685.65,17651.00
6/30/2019,Recumbent Stationary Bikes,4238415.78,17303.00
6/30/2019,Spin Bikes,2439743.66,6745.00
6/30/2019,Upright Stationary Bikes,3695889.69,19525.00
6/30/2019,Tandem,813147.89,1314.00
6/30/2019,All Terrain Tandem Bicycles,71261.90,10.00
6/30/2019,Comfort/Cross Tandem Bicycles,273680.61,801.00
6/30/2019,Road Tandem Bicycles,468205.38,503.00
6/30/2019,Tires/Tubes,43864242.37,3268212.00
6/30/2019,Other Tubes,1953481.21,340686.00
6/30/2019,Tire 12-24 Inch,2205300.16,126212.00
6/30/2019,Tire 26 Inch,4426417.98,188503.00
6/30/2019,Tire 27 Inch/700C/650C,16399966.07,487164.00
6/30/2019,Tire 27.5 Inch/650B,1245709.00,25303.00
6/30/2019,Tire 29 Inch,1869279.96,41226.00
6/30/2019,Tire OTHER,91589.93,8064.00
6/30/2019,Tires/Tubes Accessories,1446986.85,183086.00
6/30/2019,Tube 20 Inch,1777801.82,222233.00
6/30/2019,Tube 24 X,753341.28,104652.00
6/30/2019,Tube 26 X,4841325.46,646796.00
6/30/2019,Tube 27.5/650B,637564.29,77966.00
6/30/2019,Tube 27/700C/650C,5387494.56,710968.00
6/30/2019,Tube 29 X,827983.80,105353.00
6/30/2019,Trailers,1194539.60,9904.00
6/30/2019,Cargo Trailers,205124.83,1167.00
6/30/2019,Trail A Bikes,989414.77,8737.00
6/30/2019,Trainers/Rollers,2274545.94,19917.00
6/30/2019,Trainers/Rollers,1587109.27,4081.00
6/30/2019,Trainers/Rollers Accessories,687436.67,15836.00
6/30/2019,Transit/Fitness,66291403.27,151236.00
6/30/2019,Commuter/Town Bicycles,5457614.18,18977.00
6/30/2019,Cross/Hybrid Bicycles,60833789.09,132259.00
6/30/2019,Water Bottle Cages,5697318.50,425916.00
6/30/2019,Water Bottle Cages,5697318.50,425916.00
6/30/2019,Wheel Parts,1328855.85,216413.00
6/30/2019,26 Inch Rims,14116.76,221.00
6/30/2019,27 Inch Rims,17583.34,42.00
6/30/2019,27.5 Inch/ 650B Rims,92662.97,352.00
6/30/2019,29 Inch Rims,70563.50,265.00
6/30/2019,650C Rims,0.00,0.00
6/30/2019,700C Rims,118483.06,910.00
6/30/2019,Hubs,247551.48,2230.00
6/30/2019,Other Rims,24777.95,157.00
6/30/2019,Other Wheel Parts,420926.01,71097.00
6/30/2019,Skewers,121647.31,6460.00
6/30/2019,Spokes,200543.47,134679.00
6/30/2019,Wheels,7047451.57,37148.00
6/30/2019,<=24 inch Front Wheels,16977.59,386.00
6/30/2019,<=24 inch Rear Wheels,26631.48,401.00
6/30/2019,<=24 inch Wheel Sets,49828.54,1205.00
6/30/2019,26 inch Front Wheels,77393.24,1554.00
6/30/2019,26 inch Rear Wheels,112582.06,1903.00
6/30/2019,26 inch Wheel Sets,358039.29,7110.00
6/30/2019,27 inch/ 700C/ 650C Front Wheels,1043550.54,2897.00
6/30/2019,27 inch/ 700C/ 650C Rear Wheels,1557267.29,4257.00
6/30/2019,27 inch/ 700C/ 650C Wheel Sets,2319012.95,10788.00
6/30/2019,27.5 inch/ 650B Front Wheels,37480.92,220.00
6/30/2019,27.5 inch/ 650B Rear Wheels,53486.39,405.00
6/30/2019,27.5 inch/ 650B Wheel Sets,359765.15,1076.00
6/30/2019,29 inch Front Wheels,110327.51,624.00
6/30/2019,29 inch Rear Wheels,138817.78,651.00
6/30/2019,29 inch Wheel Sets,716410.71,1992.00
6/30/2019,Other Front Wheels,0.00,0.00
6/30/2019,Other Rear Wheels,0.00,0.00
6/30/2019,Other Wheel Sets,69880.13,1679.00
6/30/2019,Grand Total,711822952.60,14643541.00
7/31/2019,Bike Footwear,9859596.32,75724.00
7/31/2019,Bike Sandals,59250.08,534.00
7/31/2019,Mountain Shoes,4690243.83,38558.00
7/31/2019,Other Bike Shoes,68364.05,743.00
7/31/2019,Road Shoes,5041738.36,35889.00
7/31/2019,Bike Gloves,4252586.70,151182.00
7/31/2019,Bike Glove Liners,192.38,9.00
7/31/2019,Fingerless Bike Gloves,2902116.26,101908.00
7/31/2019,Full Finger Bike Gloves,1350278.06,49265.00
7/31/2019,Bike Lights,8619632.84,347447.00
7/31/2019,Bike Headlights,2774665.90,76108.00
7/31/2019,Bike Light Accessories,57020.89,4202.00
7/31/2019,Bike Light Sets,3282748.83,131597.00
7/31/2019,Bike Taillights,1647877.82,57966.00
7/31/2019,Other Bike Lights,857319.40,77574.00
7/31/2019,Bike Pumps,9824073.84,617445.00
7/31/2019,C02 Frame Pumps,678191.34,37833.00
7/31/2019,Floor Pumps,6024114.38,292015.00
7/31/2019,Manual Frame Pumps,1873622.74,108242.00
7/31/2019,Pump Accessories,1044125.91,174549.00
7/31/2019,Shock Pumps,204019.47,4806.00
7/31/2019,Bike Rentals,8630806.66,201347.00
7/31/2019,Bike Rentals,8630806.66,201347.00
7/31/2019,Bike Service/Repairs,33963825.16,1535329.00
7/31/2019,Bike Service/Repairs,33963825.16,1535329.00
7/31/2019,BMX,14247697.34,135077.00
7/31/2019,BMX/Race Bicycles,3314007.70,31538.00
7/31/2019,Freestyle Bicycles,10933689.64,103539.00
7/31/2019,Childrens,57274500.57,585731.00
7/31/2019,12 inch Bicycles,7357007.86,111505.00
7/31/2019,14 inch Bicycles,1437679.38,16154.00
7/31/2019,16 inch Bicycles,11984484.79,139582.00
7/31/2019,18 inch Bicycles,5713165.19,69452.00
7/31/2019,20 inch Bicycles,13953964.15,127448.00
7/31/2019,24 inch Bicycles,15519268.19,104702.00
7/31/2019,Balance Bikes,1163946.46,14966.00
7/31/2019,Tricycles,144984.55,1922.00
7/31/2019,Components,26713874.47,1207065.00
7/31/2019,Bar Ends,80819.69,4720.00
7/31/2019,Bottom Brackets,678983.91,26947.00
7/31/2019,Brake and Shifting Cables,1421765.03,304130.00
7/31/2019,Brake Parts - Disks,789570.77,19686.00
7/31/2019,Brake Parts - Levers,198553.06,5898.00
7/31/2019,Brake Parts - Other,298574.25,32161.00
7/31/2019,Brake Parts - Pads,2274390.75,155861.00
7/31/2019,Brake Parts - Rims,79895.77,898.00
7/31/2019,Brakes - Disk - Hydraulic,413903.93,3939.00
7/31/2019,Brakes - Disk - Hydraulic Sets,490849.81,5016.00
7/31/2019,Brakes - Disk - Mechanical,99192.50,2108.00
7/31/2019,Brakes - Disk - Mechanical Sets,0.00,0.00
7/31/2019,Brakes - Rim Sets,13201.96,485.00
7/31/2019,Brakes - Rims,113607.91,4462.00
7/31/2019,Cassettes/Freewheels,2463592.60,42319.00
7/31/2019,Chainrings,592927.58,12832.00
7/31/2019,Chains,3553267.01,157218.00
7/31/2019,Component Groups,664226.67,805.00
7/31/2019,Cranksets,905281.43,6905.00
7/31/2019,Front Derailleurs,281945.88,4641.00
7/31/2019,Handlebar Grips,1570338.91,92613.00
7/31/2019,Handlebar Tape,1356279.00,61058.00
7/31/2019,Handlebars,1030344.98,14221.00
7/31/2019,Headsets,155387.93,5192.00
7/31/2019,Other Component Parts,2983006.15,172025.00
7/31/2019,Rear Derailleurs,1168956.93,19412.00
7/31/2019,Seatposts,1278406.47,14669.00
7/31/2019,Shift/Brake Combo,424933.68,4299.00
7/31/2019,Shifters,474785.01,14032.00
7/31/2019,Stems,856884.90,18513.00
7/31/2019,Electric Bicycles,22761783.77,11142.00
7/31/2019,Electric Bicycles,22761783.77,11142.00
7/31/2019,Electronics,6714576.04,82980.00
7/31/2019,Cyclo-Computers,4407355.41,36704.00
7/31/2019,Electronic Accessories,1729202.55,45512.00
7/31/2019,Power Meters,578018.08,764.00
7/31/2019,Fenders,499750.27,17699.00
